"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"39","benzonase",-1.29801175526608,0.287683588439052,73.8440683407344,-4.51194231241689,2.37656957605722e-05,"ALL.CHORISMATE.PWY","benzonase",4.850652764413e-05,0.000173359933876845
"40","host_zero",-1.93025657056371,0.287683588439052,73.8440683400019,-6.70965132573996,3.42921506695998e-09,"ALL.CHORISMATE.PWY","host_zero",2.08088457499292e-08,7.43697868816168e-08
"41","molysis",-2.01834277333793,0.287471223470384,73.7157909241792,-7.02102544029371,9.13115646972198e-10,"ALL.CHORISMATE.PWY","molysis",1.03811963246098e-08,3.71018828970887e-08
"42","qiaamp",-1.46924010623767,0.286851832391368,73.4026824769826,-5.12194778045937,2.3546027676747e-06,"ALL.CHORISMATE.PWY","qiaamp",7.12214431706046e-06,2.54541919991745e-05
"43","Nasal",-1.12148686718337,0.481463315311079,20.4907222092494,-2.32932983992511,0.0301672907557513,"ALLANTOINDEG.PWY","sample_type",0.018160994117605,0.0649064959352288
"44","Sputum",0.322550160899843,0.51154011881836,15.0232186852096,0.63054714387783,0.537811084733496,"ALLANTOINDEG.PWY","sample_type",0.174925933853655,0.625176647330782
"45","lypma",-0.539759942750862,0.570226549157994,76.1114796242245,-0.94657104890658,0.346852971963776,"ALLANTOINDEG.PWY","lypma",0.124325041607414,0.444331557814684
"46","benzonase",0.329010254151427,0.570633107667274,76.6367386365889,0.576570566500091,0.565919252446761,"ALLANTOINDEG.PWY","benzonase",0.181576132228237,0.648944127842757
"47","host_zero",-0.409601148611744,0.570633107667274,76.6367386357694,-0.717801233591542,0.475062294544811,"ALLANTOINDEG.PWY","host_zero",0.159067312352999,0.568498717405521
"48","molysis",-1.43702847739005,0.570524712931615,76.4902870344492,-2.5187839278792,0.0138636561732945,"ALLANTOINDEG.PWY","molysis",0.0101349323600257,0.0362217476515861
"49","qiaamp",-0.229793722896893,0.570142269335333,76.0211120895671,-0.403046283806996,0.688045461023181,"ALLANTOINDEG.PWY","qiaamp",0.211284326532634,0.755119746885112
"50","Nasal",2.04183421782488,1.2192737133296,15.7117512416123,1.67463154130422,0.11379184220792,"ANAEROFRUCAT.PWY","sample_type",0.0519629200484058,0.185712909605261
"51","Sputum",2.12620738817338,1.38301105248902,14.6261354176589,1.53737555773456,0.145550284371709,"ANAEROFRUCAT.PWY","sample_type",0.062864926870176,0.224676143494375
"52","lypma",-0.510082386934842,0.683302125894431,70.1859034390563,-0.746496121707733,0.457861045209284,"ANAEROFRUCAT.PWY","lypma",0.154352780748543,0.551649214319979
"53","benzonase",1.28520693411546,0.685607723611443,70.4932137062471,1.87455142329147,0.0649979237021411,"ANAEROFRUCAT.PWY","benzonase",0.0335365391494764,0.119857934422049
"54","host_zero",0.807027294114456,0.685607723611443,70.493213705466,1.17709772851367,0.243115670994443,"ANAEROFRUCAT.PWY","host_zero",0.094079061534943,0.33623391900053
"55","molysis",1.3615460007639,0.684925857632237,70.3972138622254,1.987873556812,0.0507159430704769,"ANAEROFRUCAT.PWY","molysis",0.0272554229451884,0.0974095353563224
"56","qiaamp",1.49163979282063,0.683034094964111,70.1733921621408,2.18384382832165,0.0323185280789507,"ANAEROFRUCAT.PWY","qiaamp",0.019198102389405,0.0686130696718901
"57","Nasal",4.32605003124757,0.853741233334685,18.4211268696581,5.06716773459583,7.49790213227746e-05,"ANAGLYCOLYSIS.PWY","sample_type",0.000117717245145574,0.000420715619644457
"58","Sputum",1.71544651419844,0.952020103193215,16.1117065892251,1.80190156536042,0.0903012589086248,"ANAGLYCOLYSIS.PWY","sample_type",0.0432528392379806,0.15458351101307
"59","lypma",-0.111940190476205,0.665734171365208,73.5946324549001,-0.168145478016625,0.866930067897089,"ANAGLYCOLYSIS.PWY","lypma",0.252944499551067,0.904011147497407
"60","benzonase",1.71819994277177,0.667377220218198,74.0183819858157,2.57455587442737,0.0120348233466548,"ANAGLYCOLYSIS.PWY","benzonase",0.00901356917191211,0.0322140510056928
"61","host_zero",1.36458356589949,0.667377220218198,74.0183819874938,2.04469604978927,0.044441126511539,"ANAGLYCOLYSIS.PWY","host_zero",0.0245157758335195,0.087618171900887
"62","molysis",1.45245407641043,0.666901318204007,73.8874014281552,2.17791453812379,0.0326043564533942,"ANAGLYCOLYSIS.PWY","molysis",0.0193455421336596,0.0691400120352421
"63","qiaamp",0.920523259470647,0.665505165262368,73.5656515736202,1.38319476319578,0.17078876596196,"ANAGLYCOLYSIS.PWY","qiaamp",0.0716401310910263,0.256038289938731
"64","Nasal",-1.3660766588119,0.802878892622866,19.0599339277269,-1.70147287637512,0.105111043516958,"ARG.POLYAMINE.SYN","sample_type",0.0487376403530409,0.174185919282951
"65","Sputum",0.265422698171761,0.890806813028289,16.3762205279096,0.2979576427682,0.769482515345732,"ARG.POLYAMINE.SYN","sample_type",0.231238195501657,0.826433888982351
"66","lypma",-1.3090988228274,0.668645535185147,74.2749670750856,-1.95783678188312,0.0540056761789641,"ARG.POLYAMINE.SYN","lypma",0.0285958762019862,0.102200249085995
"67","benzonase",-1.27291896200292,0.670139956204843,74.7165667243581,-1.89948226518496,0.0613608072542251,"ARG.POLYAMINE.SYN","benzonase",0.0318928366363921,0.113983422829052
"68","host_zero",-1.24193849617866,0.670139956204843,74.716566722093,-1.85325242090032,0.0677943224425272,"ARG.POLYAMINE.SYN","host_zero",0.0347257730772714,0.124108197739168
"69","molysis",-0.8519704194996,0.669710202973338,74.5808980053917,-1.27214788682788,0.207272816870221,"ARG.POLYAMINE.SYN","molysis",0.0832036767682225,0.297365831021198
"70","qiaamp",-1.16555978455481,0.668426809519602,74.2406975055966,-1.74373584056644,0.0853445847839626,"ARG.POLYAMINE.SYN","qiaamp",0.0413188737560626,0.147671613906661
"71","Nasal",-0.961028362515239,0.66882254731189,18.2443183765071,-1.43689587974833,0.167676191009777,"ARGDEG.PWY","sample_type",0.0705439287436243,0.252120516894751
"72","Sputum",-0.54616332955579,0.754685394923978,16.688048437755,-0.723696699617204,0.479274581204053,"ARGDEG.PWY","sample_type",0.159893131388978,0.571450153849745
"73","lypma",-0.816117247112678,0.425567952278799,72.8733942744224,-1.9177131237035,0.0590665006976389,"ARGDEG.PWY","lypma",0.0309278803609327,0.110534716763448
