"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"4188","Sputum",-0.200280958148025,0.0585938126129115,15.1487384467768,-3.41812469980648,0.00376684918271221,"vSGB27974","sample_type",0.151203680474807,0.151203680474807
"4189","lypma",0.0250944647438995,0.0546681743240351,73.8524809009026,0.459032427078264,0.647559080884055,"vSGB27974","lypma",0.999157110299402,0.999157110299402
"4190","benzonase",-0.0261169441177681,0.0547602794549738,74.4484888467146,-0.47693226509632,0.634807371968958,"vSGB27974","benzonase",0.999157110299402,0.999157110299402
"4191","host_zero",-0.0310867383349964,0.0547602794549738,74.4484888451316,-0.56768772264132,0.571955079553045,"vSGB27974","host_zero",0.999157110299402,0.999157110299402
"4192","molysis",-0.171111303675986,0.054735149414334,74.2778056790528,-3.12616856822128,0.00252774188498121,"vSGB27974","molysis",0.113889407168684,0.113889407168684
"4193","qiaamp",-0.0772046841541505,0.054651318008531,73.7728528537218,-1.41267744251107,0.161955568056704,"vSGB27974","qiaamp",0.863203017298078,0.863203017298078
"4194","Nasal",-0.0276782017528129,0.31767120229755,18.6283616121223,-0.087128457199239,0.931499164004455,"vSGB21595","sample_type",0.999157110299402,0.999157110299402
"4195","Sputum",0.249797127609091,0.35669972134097,16.7343249250177,0.700300876799142,0.493361618330392,"vSGB21595","sample_type",0.999157110299402,0.999157110299402
"4196","lypma",-0.0099623699348673,0.234193861421116,72.6839670082572,-0.0425389883168348,0.966185674930128,"vSGB21595","lypma",0.999157110299402,0.999157110299402
"4197","benzonase",-0.0601354394442539,0.234919213808014,73.1201915837373,-0.255983486703642,0.798682371440514,"vSGB21595","benzonase",0.999157110299402,0.999157110299402
"4198","host_zero",0.162209206130826,0.234919213808014,73.1201915872556,0.690489311203767,0.492072578071768,"vSGB21595","host_zero",0.999157110299402,0.999157110299402
"4199","molysis",0.134774760058858,0.234714487525129,72.9913852539607,0.57420724847429,0.56759295100774,"vSGB21595","molysis",0.999157110299402,0.999157110299402
"4200","qiaamp",0.24228869638036,0.234086718342437,72.6472886479213,1.03503820334619,0.304084253788548,"vSGB21595","qiaamp",0.999157110299402,0.999157110299402
"4201","Nasal",-0.0309721031760868,0.256353517490889,18.6319773664028,-0.120817937195605,0.905128640633732,"vSGB77790","sample_type",0.999157110299402,0.999157110299402
"4202","Sputum",0.15291874966553,0.28772720126433,16.710864902611,0.531471299875628,0.602086155282541,"vSGB77790","sample_type",0.999157110299402,0.999157110299402
"4203","lypma",-0.00107336967508883,0.190383386355959,72.710572664449,-0.00563793771942871,0.995517040452095,"vSGB77790","lypma",0.999157110299402,0.999157110299402
"4204","benzonase",-0.051894159896037,0.190968006365971,73.1506857116141,-0.271742690744685,0.786585343987022,"vSGB77790","benzonase",0.999157110299402,0.999157110299402
"4205","host_zero",0.162088537099406,0.190968006365971,73.1506857121058,0.848773258850382,0.39877653320542,"vSGB77790","host_zero",0.999157110299402,0.999157110299402
"4206","molysis",0.0301103839806917,0.190803073642032,73.0207572729769,0.157808694618736,0.875043129571471,"vSGB77790","molysis",0.999157110299402,0.999157110299402
"4207","qiaamp",0.17277006940414,0.190296708830351,72.6732609284387,0.90789835760199,0.366932781172138,"vSGB77790","qiaamp",0.999157110299402,0.999157110299402
"4208","Nasal",-0.0340568876780302,0.164064857275202,19.3722791654562,-0.207581856612372,0.837722079735278,"vSGB16161","sample_type",0.999157110299402,0.999157110299402
