"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"133","PPGPPMET.PWY","qiaamp","qiaamp",-4.31568641601422,0.771614059786092,54,30,1.31037871153346e-06,2.18724867639419e-05
"134","PWY.6519","qiaamp","qiaamp",-3.86563678500234,0.692893547944857,54,28,1.32750581948998e-06,2.19930068602071e-05
"135","PWY.6628","log10.Final_reads","log10.Final_reads",3.5953549810877,0.643416420114806,54,22,1.56311231835386e-06,2.57045136795967e-05
"136","PWY.2941","log10.Final_reads","log10.Final_reads",5.50391183850027,1.00600607375134,54,30,1.6914323219795e-06,2.74086113488649e-05
"137","RHAMCAT.PWY","log10.Final_reads","log10.Final_reads",4.36289457180085,0.792981768313928,54,19,1.68972212359642e-06,2.74086113488649e-05
"138","PRPP.PWY","log10.Final_reads","log10.Final_reads",3.32551470446293,0.586907259452596,54,24,1.72993143567516e-06,2.7829331791296e-05
"139","PWY.6969","log10.Final_reads","log10.Final_reads",5.33404369317726,0.979391621255614,54,25,1.83516405881358e-06,2.93098144645047e-05
"140","PWY.6630","log10.Final_reads","log10.Final_reads",3.94104398520624,0.723604853213507,54,11,1.87306784870859e-06,2.97015044580933e-05
"141","P105.PWY","qiaamp","qiaamp",-4.07717882954142,0.742864109011624,54,24,1.93130826336766e-06,3.04078322317461e-05
"142","COLANSYN.PWY","log10.Final_reads","log10.Final_reads",3.40799429846909,0.586353449033849,54,25,2.29269647128519e-06,3.58435645510784e-05
"143","PWY.6629","log10.Final_reads","log10.Final_reads",3.54615707370237,0.659910317029016,54,11,2.42421227914221e-06,3.76346241936762e-05
"144","PWY.5973","log10.Final_reads","log10.Final_reads",4.94910839941438,0.924883215379726,54,33,2.80527738181661e-06,4.3248026303006e-05
"145","GLUCARDEG.PWY","qiaamp","qiaamp",-4.43554421244201,0.824940044640881,54,11,2.83113983416103e-06,4.33457271161206e-05
"146","PWY0.42","qiaamp","qiaamp",-3.98153243602878,0.743642580868793,54,14,3.05201801937507e-06,4.64073972809086e-05
"147","GLUCOSE1PMETAB.PWY","molysis","molysis",-3.74569799256602,0.704206273756183,54,28,3.1204227037093e-06,4.68063405556396e-05
"148","PWY4FS.7","log10.Final_reads","log10.Final_reads",3.70138283594491,0.596983992586181,54,30,3.11659103701046e-06,4.68063405556396e-05
"149","PWY4FS.8","log10.Final_reads","log10.Final_reads",3.69946131371155,0.597054515853995,54,30,3.15466660652044e-06,4.70024152112441e-05
"150","P461.PWY","qiaamp","qiaamp",-3.41126535421695,0.638358102464219,54,25,3.19785406839452e-06,4.70148081578532e-05
"151","POLYAMINSYN3.PWY","log10.Final_reads","log10.Final_reads",3.63669999476621,0.686964959341192,54,10,3.17948787039051e-06,4.70148081578532e-05
"152","ARGININE.SYN4.PWY","log10.Final_reads","log10.Final_reads",4.76511008321877,0.897253865709888,54,24,3.24629193931432e-06,4.74129480610381e-05
"153","PWY.561","log10.Final_reads","log10.Final_reads",3.65750726010159,0.691214882900084,54,16,3.33132910274445e-06,4.8336932079037e-05
"154","PWY.6527","qiaamp","qiaamp",-4.11166909493407,0.778428253152822,54,27,3.84128879212738e-06,5.53744228475506e-05
"155","PWY0.881","log10.Final_reads","log10.Final_reads",3.70159566947218,0.709477904567551,54,8,4.02201723994052e-06,5.76056662752771e-05
"156","TCA.GLYOX.BYPASS","qiaamp","qiaamp",-3.99811165979529,0.760418443832587,54,27,4.05520574919611e-06,5.77086972000985e-05
"157","PWY.6703","log10.Final_reads","log10.Final_reads",4.98034748818799,0.95573578858269,54,35,4.10745456229908e-06,5.80799307535284e-05
"158","GALACTARDEG.PWY","qiaamp","qiaamp",-4.1706522052374,0.793249074300259,54,9,4.19254634798456e-06,5.81715805782858e-05
"159","GLUCARGALACTSUPER.PWY","qiaamp","qiaamp",-4.1706522052374,0.793249074300259,54,9,4.19254634798456e-06,5.81715805782858e-05
"160","PWY.7254","log10.Final_reads","log10.Final_reads",5.14259777105878,0.987789700959218,54,24,4.18269797082741e-06,5.81715805782858e-05
"161","PWY.7282","log10.Final_reads","log10.Final_reads",4.56163226814995,0.868310615956895,54,32,4.41627705116019e-06,6.08952487799728e-05
"162","PWY.5675","log10.Final_reads","log10.Final_reads",4.77322444510548,0.929413971114047,54,25,5.33678124497608e-06,7.31336689126352e-05
"163","PWY0.1479","log10.Final_reads","log10.Final_reads",3.4553922973145,0.61487198244479,54,27,5.40529090959208e-06,7.36180725110087e-05
"164","ARG.POLYAMINE.SYN","log10.Final_reads","log10.Final_reads",3.76425196690325,0.732622406233454,54,15,5.50936668378747e-06,7.45780124268791e-05
"165","PWY.7388","log10.Final_reads","log10.Final_reads",4.54065723370911,0.875330255158137,54,33,5.60296406762041e-06,7.53853347279837e-05
"166","GALACTUROCAT.PWY","log10.Final_reads","log10.Final_reads",3.27255340419577,0.641925644247865,54,7,6.04019326149551e-06,8.07784881959038e-05
"167","UBISYN.PWY","log10.Final_reads","log10.Final_reads",3.50097631852987,0.680568694621658,54,19,6.32658651850984e-06,8.41019285694123e-05
"168","PWY.6353","qiaamp","qiaamp",-3.72702816986332,0.730369588200239,54,31,6.42226902989847e-06,8.48656978950869e-05
"169","PWY.821","log10.Final_reads","log10.Final_reads",4.19963287004047,0.665910438979058,54,25,6.53009106513657e-06,8.57798944651077e-05
"170","GLUCOSE1PMETAB.PWY","host_zero","host_zero",-3.49368273745068,0.684989316590256,54,28,6.58677359913806e-06,8.60155140593323e-05
"171","GLYCOGENSYNTH.PWY","qiaamp","qiaamp",-2.91984416300492,0.572257936022417,54,27,6.97516995423169e-06,9.05548380023062e-05
"172","PWY.6731","log10.Final_reads","log10.Final_reads",3.63320123340857,0.718994580503157,54,9,7.05844099299285e-06,9.11031337467682e-05
"173","PYRIDOXSYN.PWY","log10.Final_reads","log10.Final_reads",2.54908140397712,0.505352219155869,54,30,7.24403979059836e-06,9.29581984689501e-05
"174","POLYAMSYN.PWY","log10.Final_reads","log10.Final_reads",3.7507919674152,0.74324751458769,54,15,7.47715303091353e-06,9.52597119513014e-05
"175","PWY66.422","log10.Final_reads","log10.Final_reads",4.19174057580306,0.815967214041385,54,26,7.50921152769268e-06,9.52597119513014e-05
"176","PWY.6317","log10.Final_reads","log10.Final_reads",4.20867310331561,0.818572708502632,54,26,7.5889310307415e-06,9.57240164104894e-05
"177","GALACT.GLUCUROCAT.PWY","log10.Final_reads","log10.Final_reads",3.41769921141521,0.681443506434234,54,7,7.98583036142439e-06,0.000100161262160238
"178","METHGLYUT.PWY","log10.Final_reads","log10.Final_reads",3.34502306671366,0.637773100747763,54,27,8.21649027232552e-06,0.000102475328115521
"179","PWY.6595","log10.Final_reads","log10.Final_reads",3.31844658855109,0.641470366110249,54,27,8.50428943569228e-06,0.000105472193001323
"180","FUC.RHAMCAT.PWY","log10.Final_reads","log10.Final_reads",3.22318172974979,0.64660621900565,54,7,8.85669601349398e-06,0.000109232584166426
"181","TEICHOICACID.PWY","log10.Final_reads","log10.Final_reads",4.40478638767236,0.885183631974911,54,25,1.06307886436985e-05,0.000130388678392324
"182","PWY.6531","log10.Final_reads","log10.Final_reads",3.59751391789859,0.734433737269806,54,7,1.19225854666183e-05,0.000145429339208201
"183","GLYCOLYSIS.TCA.GLYOX.BYPASS","log10.Final_reads","log10.Final_reads",3.13026251164421,0.625651126038061,54,24,1.27565700401205e-05,0.000154751833273593
"184","GLYOXYLATE.BYPASS","log10.Final_reads","log10.Final_reads",4.98005503857352,1.02198481315483,54,28,1.30166003706783e-05,0.000156959764822187
"185","P125.PWY","log10.Final_reads","log10.Final_reads",3.81891277398346,0.774792319396317,54,28,1.30799804018489e-05,0.000156959764822187
"186","PWY.7210","log10.Final_reads","log10.Final_reads",4.17697156280466,0.856368970487886,54,12,1.3278658932104e-05,0.00015848721951221
"187","PWY.5913","log10.Final_reads","log10.Final_reads",4.56806330683662,0.937498406084839,54,31,1.37528784988939e-05,0.00016326946667136
