"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"33","host_zero",-0.39065718309989,0.093448312411281,72.9157541739015,-4.18046268594498,7.98892374705935e-05,"Listeria","host_zero",0.00151789551194128,0.00151789551194128
"34","molysis",-0.424377411313676,0.0933702943681438,72.7788155121608,-4.54510092514462,2.13758258848915e-05,"Listeria","molysis",0.000710746210672641,0.000710746210672641
"35","qiaamp",-0.223447954872087,0.0931296634499324,72.4109934183786,-2.39932097459168,0.019000346730329,"Listeria","qiaamp",0.0959637765240668,0.0959637765240668
"36","Nasal",-1.23990922284911,1.88495926482935,17.041084862675,-0.657790991022483,0.519459998178704,"Staphylococcus","sample_type",0.797171304897319,0.797171304897319
"37","Sputum",1.91615769630152,2.16721075002858,16.7514973305685,0.884158449415334,0.389124731939169,"Staphylococcus","sample_type",0.636314623130035,0.636314623130035
"38","lypma",1.08543392244386,0.549107945694172,69.4945143790724,1.97672230197229,0.0520424235437136,"Staphylococcus","lypma",0.179007991327084,0.179007991327084
"39","benzonase",1.22450630740522,0.551772596712238,69.5965479802038,2.21922276441688,0.0297335066377681,"Staphylococcus","benzonase",0.130427785975702,0.130427785975702
"40","host_zero",1.11461210946572,0.551772596712238,69.5965479817156,2.02005702368546,0.0472284782484041,"Staphylococcus","host_zero",0.166165983965452,0.166165983965452
"41","molysis",1.38507280941424,0.551006973184376,69.5666530537608,2.51371194344355,0.0142649321903474,"Staphylococcus","molysis",0.0833151958789714,0.0833151958789714
"42","qiaamp",1.18055920195273,0.548793967487874,69.4893295135472,2.15118837285473,0.0349401922957771,"Staphylococcus","qiaamp",0.140819562889041,0.140819562889041
"43","Nasal",-0.685199647710302,0.344094339628566,18.5767103712687,-1.99131333706316,0.0613594667131981,"Enterococcus","sample_type",0.199044123728179,0.199044123728179
"44","Sputum",-1.07196107997226,0.38754429965971,16.8803731121873,-2.76603495629665,0.0132785544542611,"Enterococcus","sample_type",0.0802748973825786,0.0802748973825786
"45","lypma",-0.0835120084979875,0.239740090579846,72.4657223221467,-0.348343943209505,0.728591863851243,"Enterococcus","lypma",0.956276821304757,0.956276821304757
"46","benzonase",0.0451382087148228,0.240529379446996,72.8726387899376,0.187661934764895,0.851663225268482,"Enterococcus","benzonase",0.983888428601341,0.983888428601342
"47","host_zero",0.121665741265917,0.240529379446996,72.8726387894671,0.505824866574057,0.614506320528763,"Enterococcus","host_zero",0.878810114304575,0.878810114304575
"48","molysis",-0.0216035752362961,0.24030592439212,72.752349487375,-0.0899003022540735,0.92861348333039,"Enterococcus","molysis",0.997270903740972,0.997270903740972
"49","qiaamp",0.102093252479417,0.239626623573225,72.4335081416733,0.426051375081114,0.671333819253283,"Enterococcus","qiaamp",0.917946212205167,0.917946212205167
"50","Nasal",-1.29401578499307,0.711974248308809,18.4380106680909,-1.81750363593461,0.0854285861639207,"Prevotella","sample_type",0.252488932440032,0.252488932440032
"51","Sputum",0.00804134208290636,0.803936720081065,16.9157477035188,0.0100024565143579,0.992136347873053,"Prevotella","sample_type",0.999321164630346,0.999321164630346
"52","lypma",0.529424668554957,0.47022498961516,72.195603668084,1.12589649688386,0.263938158196909,"Prevotella","lypma",0.5212891030563,0.5212891030563
